word,number neighbors,closer words
hang,59,hanging hung hangs Hanging pull hangin Hang put cling knock
lately,32,Lately been 've writing_screenplays_Elkins gotten already these_recalls_Debrowski has decades_Phyllis_Zicherman grown_accustomed
certain,45,these all Certain specific some various specified particular those such
giving,54,give gave gives Giving given providing handing allowing Give letting
definitely,500,certainly obviously really Definitely probably think always yeah hopefully definately
sucks,500,suck stinks kinda_sucks pisses friggin crappy sux freakin friggen crap
information,500,info infomation infor_mation informaiton informa_tion informationon informationabout Information informaion details
seemed,55,appeared seems looked seem seemingly appears felt was seeming Seemed
current,14,Current currrent thecurrent curent future existing new previous normalized_FFO_guidance prevailing
laugh,500,chuckle laughing giggle laughs laughed chuckling hearty_laugh chuckles joking funny
add,49,Adding Add adds bring augment create incorporate expand combine elevate
sent,44,sending send sends forwarded mailed despatched Sending dispatched e_mailed circulated
support,31,supporting suport suppport Support supported backing supports assistance sup_port supportive
iraq,500,afghanistan iraqi Afganistan afganistan Iraq iran libya vietnam cheney iraqis
public,19,pubic Public private thepublic pub_lic publc PUBLIC pubilc apublic pulic
personal,28,Personal per_sonal Biden_decries_unbecoming pesonal area_networks_WPANs nonpersonal everyone_Lucaccini BY_GREGORY_KARP own customizable_scrolling_ticker
thursday,500,tuesday monday saturday friday wednesday sunday feb tues tommorow thurs
basically,300,essentially Basically totally whole just Essentially kind really kinda literally
poor,113,poorer abysmal poorest lousy woeful student_Abu_Fatmah pitiful bad wretched shoddy
meeting,254,meetings meeeting Meeting meeing Meetings worksession roundtable briefing conference forum
article,500,op_ed column articles op_ed_piece Op_Ed editorial oped writeup aricle essay
win,500,victory wins clinch winning victories triumph won defeat beat vicory
near,210,nearby vicinity north outskirts south miles_northeast miles_southwest west miles_northwest miles_southeast
somewhere,65,someplace somewhere_else Somewhere somwhere ours_Sanville anywhere Qari_Ahmadi Michael_Haibach_deputy somewheres blocked_Ueberbach
finish,500,finishing finishes finished finsh fi_nish Finishing finsih win finshing finshed
bar,307,Bar bars tavern pub nightspot nightclub Pub bartender restaurant Lounge
park,500,parks Park superintendent_Dave_Uberuaga skate_park parkland Kohler_Andrae campground Taraji_Henson_knocked Castaway_Cove skateboard_park
dark,390,darkened darker gray pools_Niederauer darkness darkest ghostly_glow Satanic_mills stuffy_cabins Colbert_SpongeBob
boys,500,girls kids Boys boy teenagers schoolboys men Girls boysâ_€_™ teenage_girls
bus,500,buses Bus busses minibus Buses schoolbus trolley van Greyhound_bus taxi
den,45,dens Code_Bitte_übertragen_Sie Michael_Baden_BAH' lair Levy_staring_listlessly rumpus_room lairs these_hedonistic_dens 1Bdrm_+ hibernating_bear
study,500,studies Study survey longitudinal_study observational_study researchers research multicenter_study meta_analysis randomized_controlled_trial
ran,184,went raced sprinted drove running walked sped scampered darted rode
peace,500,peace_accord peaceful_coexistence peacemaking ceasefire Dissident_republicans_opposed Mideast_peace Peace Peace_Process stage_Yusafzai cease_fire
website,500,Web_site webpage Website homepage web websites webiste www Web_Site http://www
feels,121,feel felt feeling thinks looks seems realizes knows believes acknowledges
teacher,500,teachers Teacher guidance_counselor elementary PE_teacher schoolteacher school pupil student paraprofessional
fight,500,fighting fights battle fought Fight fi_ght battles Fighting bout fighing
control,17,controlling contol controls controlled Control Controlling grip con_trol conrol controllable
fear,127,fearful fears Fear fearing worry dread feared anxiety apprehension afraid
cry,122,crying cries weep scream bawling sob cried sisters_nieces_nephews bawl yell
random,38,randomly Random orbit_sanders orbit_sander randomness DRAM_Nandi randomly_selected number_generator_RNG Randomly vehicle_Kakuske
worse,141,uglier better scarier bleaker progressively_worse Alain_Widdowson grimmer nastier direr worsen
within,8,withing Within over beyond w_ithin only within## remaining
ride,321,rides riding rode Ride Rides Fabio_complimented joyride riders DALMAC hop
written,250,penned writing write wrote Written writen read authored rewritten handwritten
rain,500,heavy_rain downpour rains torrential_rain Rain downpours rain_showers wet_weather rainfall heavy_rains
truth,327,truths falsehood veritas_Latin Fatma_Trad_veiled truthful facts Truth untruths falsity unvarnished_truth
space,238,spaces music_concept_ShockHound Shuttle_docks Space Soviet_Union_Yuri_Gagarin Shuttle_Discovery_blasts Shuttle_Discovery_docks Shuttle_Endeavour_undocks Shuttle_Discovery_arrives Shuttle_undocks
liked,389,loved disliked wanted knew admired hated impressed thought liking Reese_Witherspoon_canary_yellow
comment,489,com_ment BY_CARLA_HINTON_Leave BY_SONYA_COLBERG_Leave BY_BRANDY_McDONNELL_Leave BY_DARLA_SLIPKE_Leave BY_DIANA_BALDWIN_Leave BY_TRICIA_PEMBERTON_Leave Only_registred_users BY_CARRIE_COPPERNOLL_Leave BY_MEGAN_ROLLAND_Leave
normal,47,Steven_Groeninger_spokesman hand_Cendales normality normalized abnormal usual manager_Brandy_Kingsolver features_Rozsos normally normalize
law,500,laws statute statutes Law legislation Constitution constitution Prevailing_Wage_Act slayer_statute rule
wear,500,wearing wore don wears worn dress Wearing wear_pantyhose knit_beanies donning
area,184,areas outlying_areas region vicinity neighborhoods neighborhood Area metropolitan mile_radius vicinities
sign,19,signs Signs burlingtonfreepress.com_newsletters signing visit_www.sheboyganpress.com_textalerts signed Sign At_www.QualityStocks.Net Visit_http://www.otcpicks.com/hotpicks.htm_today Signing
posted,103,posting Posting recorded mudflow_warnings Jenny_McCorkle logged Catherine_Gao Mujaheddin_Shura_Council Lelise_Gobena newspaper_Delovoi_Peterburg
simple,121,straightforward Simple uncomplicated simplest easy fairly_straightforward deceptively_simple simpler simplistic disarmingly_simple
government,500,Government goverment governent governments govern_ment governmnent governement govenrment governemnt govt
straight,255,consecutive staight row successive winning_streak consectuive alternated_wins straigth threegame_losing losing_streak
shall,277,must ADSI_intends hereby henceforth aforesaid hereafter thou_knowest should hereunder_shall shalt_thou
dance,500,dancing dances dancers Dance ballroom_dance dancer dance_troupe dance_routines lindy_hop ballet
usual,18,Usual ususal route_Mangeot customary typical Fehrenbacher_forester normal predictable prosaic shrieking_grunts
act,11,acts acted acting behave act_decisively Acts Still_Geberth punish_wrongdoers Sanctioning_bodies commit
dunno,500,Hmm hmmm Hmmm i_dunno y'know yeah Uh lol Ummm hmm
alot,500,dont thats lol whats Alot cant i_dont definately realy definetly
blah,500,Blah_blah_blah_blah meh bland ho_hum lame ugh bleh boring crappy blah_blah
missed,212,miss misses Missed skipped missed_makable misfired missing Backup_Delonte_West misssed footer_rimmed
wake,22,aftermath following woke wakeup_call woken immediate_aftermath midst wakes waking after
hehe,500,lol haha hahah Hahahaha rofl im_gonna HAHAHAHA questlove_@ Hahaha lmfao
shopping,500,Shopping shoppers mall shopper malls DealTaker.com_coupon shopping_mall SHOPPING shopped grocery
kerry,500,mccain hillary reagan sarah john_mccain palin hilary bennett pete richards
level,18,levels threshold level.The Levels echelon Level Jackass_sey_di_worl levelof heights Baathist_civil_servants
forever,75,forevermore eternally Mikio_Tadano_bristles Ramallah_Jenin_Nablus Jadis_icy_spell irrevocably Eldor_Schuman Menemon nearby_Lottsburg eternity
piece,33,pieces peice bits nugget masterpiece Pieces item slice peices chunks
learned,44,learn relearned taught learns knew learning relearn talked teach realized
lose,66,losing lost loses loosing Losing squander regain looses Lose suffer
attention,28,Attention undivided_attention attentions atten_tion atttention spotlight notoriety acclaim ire atention
tuesday,500,thursday monday friday wednesday saturday sunday feb july tommorow september
service,169,services ser_vice sevice servce serivce service.The Service sevices servies servic
de,500,De de_la d' du le en ouverte del La la
catch,59,catching caught catches Catching nab Catch snare catchable grab Poor_Linds
message,41,messages messsage mesage Message messege subliminal_message mes_sage Messages missive congratulatory_message
moved,128,moving shifted relocated drifted pushed crept went nudged move inched
video,500,videos Video Efforting_soundbites video_clips INCLUDES_previously_unreleased videotape footage vidoe Watch_TimesCast_daily clips
recently,36,Recently has previously subsequently newly recenlty already recent recenty been
coffee,500,coffees gourmet_coffee Coffee o_joe Starbucks_coffee coffee_beans latté cappuccino brewed_coffee espresso
bunch,500,buncha gaggle passel ragtag_bunch rag_tag_bunch lot buch slew handful fellahs
smile,500,grin smiles grins beaming_smile smirk smiling mischievous_smile toothy_grin toothy_smile sly_grin
green,155,wearin_o greener workers_differently_Corenthal QEII_TJ_Marta red Leyritz_Ford_Expedition greening Pentwater_Civic Kimmie_Mi_Hyun_Kim eco_friendly
jesus,500,jesus_christ christ cuz_u jesse jessie lmfao hahah angelina hitler michele
deep,57,deeper deepest depths shallow gravelly_voice_fills Deep depth deepening Deeper water_newbuilding_drillships
strange,500,weird peculiar bizarre odd surreal disconcerting unusual freaky strangest curious
pass,362,passes passing badly_underthrown passed dumpoff passess nifty_wraparound passs eluded_tacklers mark_Olukunle
situation,53,predicament situtation situations sitution sitaution scenario circumstances sitation siutation thesituation
strong,68,solid stong robust stronger weak Strong strongest good strength astrong
clean,129,Clean mess_Lehmacher Surprisingly_Zambonis cleaned cleaning cleaner sober_Boole_added surgeon_Rochelle_Dicker NASDAQ_BLDP_provides leadoff_batter_Jose_Bautista
form,2,forms shape
evil,500,malevolent wickedness evil_doers demonic villainous Evil evil_incarnate satanic satan evilness
floor,104,floors Family_BirthPlace_located fl_oor Floor balcony upper_floors hallway stairwell McDermot_###-#### hen_bobs_around
worry,186,worried fret worries fretting worrying fear Worry concerned complain concern
ah,500,uh nah yah ee Ah lah dee tay gee duh
large,61,sizeable small sizable Large huge larger massive smaller substantial gigantic
project,500,projects pro_ject proj_ect Project Projects construction feasibility_study pro_jects project.The theproject
x,500,× x_###.#mm §_§_##v Gelo_Orange_Naples x_##mm_WDH x_##.#cm x_##in x_##.##mm ##.#mm_x_##mm x_#.##in
final,142,Final penultimate fi_nal second first fourth finals thefinal semi_final third
somehow,184,Somehow miraculously magically somehow_someway actually foolishly somehow_magically somehow_miraculously alas hopelessly
complete,18,completed completing completes Complete full Completing completion Successfully_completing detailed partial
ways,26,way things methods alternatives possibilities how strategies approaches ideas Please_visit_www.autonomy.com
stopped,58,stop stopping halted started resumed Stopped began ceased stoped stops
truly,208,genuinely Truly really truely indeed uniquely absolutely profoundly ebullient_Ohno incredibly
art,500,visual_arts artworks artwork printmaking Art LSA_CC art_gallery AABB_Cryo_Cell arts artmaking
feet,406,ft foot ft. inches meters feet_tall ###feet centimeters 6feet RICHLAND_CHAMBERS_RC
speak,65,speaking spoke speaks spoken talk converse speak_candidly discuss testify Speak
conversation,106,conversations discussion coversation discussions chats chit_chat convo chat banter dialogue
lord,500,lords god Lord Thou_knowest Lord_Ackner dost_thou lordship thou_knowest Ozai sitteth
christmas,500,xmas Xmas Christmas x_mas Chrismas Christ_mas X_mas santa holiday Chistmas
chris,500,david paul dave gordon ryan kevin clark andrew steve darren
eye,29,eyes Eye eyelid ear eyeball beady_eye Obagi_ELASTIderm_TM Morgan_Tsvangirai_ur beady peepers
imagine,153,fathom envision imagining imagined Imagine wonder contemplate think remember see
mention,32,mentioning mentions mentioned allude nary_mention alluded forget Mention cite belabor
wife,500,husband daughter fiancée mother fiancee daughters girlfriend niece estranged_wife eldest_daughter
suppose,500,guess think maybe yeah dunno hey Maybe Okay probably Hmm
wearing,500,wore donning wear Wearing donned wears wearing_khaki dressed clad wearing_khaki_shorts
ppl,500,lol dont poeple i_dont thats some1 pple ppl_r any1 sum1
web,500,Web website websites Website Visit_TMM webpage online www.AlgonquinPowerandUtilities.com news_.com_index.php www.foxbusiness.com
picked,75,picking pick scooped Picking picks Picked perked racked wrapped pulled
shows,34,show shown showed showing indicates reveals demonstrates suggests illustrates Shows
married,500,divorced wed marry remarried happily_married marrying remarry marriage Married eloped
students,500,student undergraduates Students teachers classmates stu_dents middle_schoolers faculty sudents studens
fell,237,tumbled slipped rose climbed slid dropped jumped plunged falling slumped
clothes,500,clothing underwear underclothes garments jeans Clothes undergarments dresses shoes pajamas
forgot,285,forgetting forgets forget forgotten didn'tI Should_auld_acquaintance didn't conveniently_forgot remember Ooops_sorry
return,23,returning returns returned rejoin Return leave depart Returning reclaim retun
gotten,38,got getting get gone received lately been gets figured gotton
none,60,None neither nobody no never hardly unlike other only nothing
asking,85,ask requesting asked asks Asking urging imploring begging telling seeking
fat,500,fatty belly_fat unhealthy_fats Heart_clogging_trans saturated_fat fats flab Redistribution_accumulation Fat fatty_foods
r,500,n_r_nThe motherf_---- LIVE_tweeting r_n f b ch eal h tter
caught,37,catching catch Caught snared Catching catches nabbed hooked spotted snagged
major,30,biggest significant big main key huge signficant amajor largest greatest
bill,500,legislation bills amendment HB#### omnibus_bill appropriations_bill Legislation Tax_Extenders_Act Senate proposed_constitutional_amendment
wednesday,217,monday thursday tuesday saturday friday sunday tommorow feb tommorrow july
hello,500,hi goodbye howdy goodnight greeting Hello g'day See_ya ya_doin greet
worst,146,Worst weakest scariest ugliest best bleakest strongest nastiest lousiest toughest
fire,500,blaze fires Fire flames carelessly_discarded_cigarette inferno firefighters alarm_blaze brush_fires grassfire
july,500,september feb december february november october january april june tuesday
dear,43,dearest lord_bless dearly bonnie_st_george_mandaue##@yahoo.com dear_lord son_Excellency_Baraka beloved cherished God_bless Dearest
feelings,290,emotions sentiments innermost_feelings bitterness Feelings ambivalent_feelings thoughts resentment anger emotion
following,59,Following after follows followed subsequent folllowing follwing ollowing culminating coincided
earlier,38,last previous Earlier later Last ealier ago after prior recent
minute,500,minutes mintue seconds mintues hour ##minutes ##minute halfhour minuets mintes
unless,72,Unless if otherwise until either If anytime Dolly_strengthens Otherwise but
update,321,updates updated updating DESCRIPTION_rPath TITLE_Red_Hat Fierce_ContentManagement GoldCore_blog DESCRIPTION_Debian DESCRIPTION_Red_Hat disembodied_voice_intoned
ill,28,sick seriously_ill unwell gravely_ill feeling_unwell consuming_prasad dizzy deathly_ill illness recommends_licensure_Balmer
bitch,500,bitches b_*_tch ab_**** ab_*_tch b_**** bitch_bitch whore fucking_bitch b_**_ch ab_**_ch
table,46,tables ConocoPhillips_BPAmerica Capitalized_Included tray dining_room banquette rapping_cappella sideboard linen_tablecloth Tables
serious,67,serous severe Serious seriously minor seri_ous seriousness gravest grievous nonserious
choice,28,choices choose choosing Choosing chose chosen selection option preference selecting
mostly,55,mainly largely primarily predominantly chiefly predominately Mostly generally principally Largely
dreams,120,dream aspirations daydreams lifelong_dream fantasies unshaped_eyebrows_Poehler dreaming palatial_McMansions_aside boyhood_dreams visions
weather,500,wet_weather Weather inclement_weather wintry_weather wintery_weather weatherwise stormy_weather Unusually_mild Unseasonably_warm wintry_conditions
meant,34,intended supposed needed means wanted could mean hoped designed would
save,53,saved saving saves saver Saving conserve preserve owl_kingdoms Reading_Euromoney avert
issue,46,issues thorny_issue problem isssue topic Issues touchy_subject matter matters dilemma
self,5,Self narcissistic selfconfidence self_actualization self_righteous
hmm,500,hmmm Hmmm Hmm Hmmmm dunno hmmmm lol hey ummm haha
states,103,States countries jurisdictions regions counties nations Canadian_providences legislatures sates districts
beach,500,beaches beachfront beachside sandy_beach seashore Beach Vasden_displayed_kenaf_booms beachgoers shoreline beach_goers
continue,60,continues continued continuing contine tocontinue remain Continue intensify con_tinue persist
trust,43,trusts opinion_Stoutenburg trusting Trust Hasegawa_crammed Subordinated_debentures_payable busting_Teddy_Roosevelt confidence mustachioed_cowboy_hips Equifax_empowers_businesses
card,475,cards Card accompanying_GOLD_proxy accompanying_WHITE_proxy prepaid_reloadable debit_card NACo_prescription_discount Visa_debit_card Metro_SmarTrip Lexar_Professional_###x_SDXC
thinks,271,believes knows realizes says concedes agrees belives feels wants sees
absolutely,165,Absolutely utterly totally absolutley quite_frankly frankly absoutely truly absolutly really
speaking,55,spoke speak Speaking spoken speaks talking answering_questions conversing discussing conversed
beat,445,beating beaten beats trounce thumped defeated trounced outplay win outslug
p,500,%_##gt %_##lt_;/ BEL_Kawasaki d bunt_SAC OGJ_Mar. SN_#/#/## Joel_Roelants_BEL_KTM 2b_SAC GONZALES_grounded
example,11,instance examples illustration exemplar shining_example reason Example counterexample analogy metaphor
noticed,71,noticing spotted noticeable saw seen discovered Noticing observed sensed alerted
lady,460,woman ladies dear_madam lady_Laura lass NANCY_REAGAN Bernadette_Chirac gentleman lady_Bernadette_Chirac Maggie_Kernan
shot,500,shots shooting shoot pointblank_range Shot fired richocheted shoots Handycam_camcorders_plunged ricocheted
expect,89,expecting anticipate Expect foresee want expected expects intend predicted anticipating
beginning,50,starting begins begin term_TIPSC begining start began end fledgling_Arpanet_network beginnings
stuck,81,sticking wedged jammed Stuck stick trapped mired stranded Sticking bogged_down
pissed,500,pisses p_*_ssed pisses_me p_***** p_**_sed piss PO'd pissy p_**** cheesed
ur,500,u yur lol u_dont u've jst u're some1 dont_u haha
stories,328,tales story Stories Rubble_piled anecdotes narratives tall_tales tale below_glowed_frosty experiences
six,178,seven five four eight nine three two ## eleven ten
turns,159,turn morphs turned turning disappears pulls transforms goes Turns carves
starts,59,begins start starting tomorrow_Shirato finishes outings permits_data_due.Thursday ends started begin
dun,500,na_di nao pera ano_ba doon na_nga iyan kanila tapos_na tanan
afraid,500,scared fearful worried frightened afriad deathly_afraid hesitant terrified Afraid reluctant
scared,500,frightened afraid terrified fearful petrified worried freaked petrified_Ogborn panicked Scared
places,51,locales spots areas place locations Places cities tourist_destinations where venues
view,44,views viewpoint vantage_point perspective Noem_benefited Smoke_obscures vantage MonitorPlus_article Views viewed
yea,500,yay nay Yea yes wut aye lol Uhh nay_nay oh
clear,35,crystal_clear clearer abundantly_clear obvious clearest unambiguous unclear sure evident unequivocal
ice,500,Ice Francies_tossed Melting_polar melting_glacial icy Fill_cocktail_shaker caked_oak_tree ice_melts snow cocktail_shaker_filled
touch,20,touches Wesley_Matthews_regaining HP_TouchSmart_###t_redefines Sculptor_Susan_Bahary MicroTouch_brand bargepole touching Gerald_Cardinale_Goldman_Sachs womenintechnology_recruitment_services sensitive_optical_trackpad
passed,70,Passed passing pass enacted vetoed passsed overrode_veto cleared_procedural_hurdle passage Passing
knowing,139,Knowing know knew believing realizing having feel feeling imagine guess
super,40,super_duper pyroclastic_flows_surging uber cold_liquid_propellant thin_Macbook_Air ultra phosphate_SSP nonflammable_roofs_indoor Mona_Lisa_Cotte mega
died,500,killed perished hospitalized critically_injured dies committed_suicide succumbed dead Died seriously_injured
period,98,"periods period.The pe_riod quarter Incursions_During Period --------------------------------------------_Retained_earnings time thethird_quarter #,###,###_SUPPLEMENTAL_DISCLOSURE"
calling,39,call called calls Calling phoning urging asking denouncing Call telephoning
cat,500,cats dog kitten feline beagle puppy pup pet felines chihuahua
low,30,high Low lower lowest higher lowish ultralow ahigh zero below
box,70,boxes MLN_Newswire_www.mlntherawfeed.com_Attached Inception_outclasses_Schmucks doctrinal_Pandora Little_Fockers_tops brightest_crayon tracker_Nielsen_EDI Keyword_Solicitation_# Strings_attaches Body_Snatchers_flopped
blood,329,Blood splattering_tombstones urine Alcohol_Concentration_BAC bloods blood_platelets With_darkly_mascaraed plasma_transfusions dazed_Keheley Zapping_nerves_helps
club,500,clubs league club.The theclub midlands_club official_website_www.heartsfc.co.uk Club Alan_Biley PLYMOUTH_Argyle boss_Nigel_Spackman
c,500,b Class_BladeSystem See_USSG_§_#D#.# P._###a *_nts USC_§_##a USC_§_####k www.yomiuri.co.jp_index_e.htm_Copyright TCA_§_##-##-### #####.#_subd
interested,48,intersted keenly_interested Interested inter_ested averse involved intrigued leaning_toward actively_engaged vested_interest
practice,113,practiced practicing pratice practices Practice prac_tice workouts Practicing shoot_arounds workout
michael,500,anthony gary robert jeff dave williams howard david thomas ryan
third,151,fourth second fifth sixth seventh eighth ninth first fouth thrid
son,500,father nephew daughter grandson brother sons eldest_son uncle younger_brother mother
towards,30,toward northwards opposite_direction southwards downwards westwards Melrose_Jewelers_caters nearer eastwards inexorably
local,35,Local regional ocal hoteliers_restaurateurs civic LOCAL national locally spokesman_Masaru_Morita municipal
drunk,500,intoxicated inebriated drunken tipsy drinking Drunk visibly_intoxicated drink drunks boozed
including,69,ranging included inlcuding include incuding assorted Including other Among includes
mike,134,mic mikes microphone mics mic_nights CLUB_LASALLE_Open Doug_Fankhauser Open_Mic_Night Open_Mic microphones
apartment,500,apartment_complex townhouse apartments bedroom Apartments house duplex rooming_house townhome fourplex
general,54,gen_eral Ahmad_Vahidi_Revolutionary_Guards manager Bambang_Setiawan_director purpose_programmable_clocks LOUIS_Walt_Jocketty Pagan_Amum_secretary manager_Charley_Armey Lisa_Namerow Danielle_Tiedt_marketing
building,500,buildings Building bulding buidling buiding buildling buildng renovating buliding builiding
everybody,500,everyone Everybody anybody Everyone nobody somebody everything really everbody somebody_else
wedding,500,nuptials weddings bride Wedding bridal_shower wed_ding bridal newlyweds fairytale_wedding wedding_planner
luck,30,misfortune Lady_Luck carried_ristra unlucky karma Carpe_diem_seize dumb_luck lucky luckier fortune
season,500,seasons sesaon seson seaosn seaon preseason sesason postseason theseason midseason
window,224,windows door window_pane doorway windshield sliding_glass glass_pane doors skylight shootdown_presumably
soul,500,souls sweetest_gentlest_kind TUCSON_Ariz._Summoning Siim_Kallas_departure soulful siren_Joss_Stone DJ_Lemon_Lime neshama glitzy_goth_rocker Adam_Burtle
total,500,"whopping cumulative toal totaled of### approximately totals roughly #,### ##.#"
eventually,50,ultimately Eventually shortly_thereafter then subsequently soon quickly gradually finally initially
calls,33,call Calls calling requests phone called callers phonecalls voicemail text_messages
brain,500,brains frontal_lobe cerebellum cerebral_cortex temporal_lobe cortex brainstem frontal_lobes neural brain_frontal_lobe
quickly,66,swiftly easily rapidly soon promptly Quickly speedily slowly eventually instantly
sleeping,281,slept sleep asleep sleeping_soundly Sleeping snoozing falling_asleep sleeps bed dozing
asleep,144,fell_asleep alseep sleeping falling_asleep fallen_asleep awake dozing dozed slept doze
hoping,118,hopeful eager hope hoped trying hopes aiming Hoping hopefully Hopefully
earth,225,Earth planet meek_inheriting earths cosmos mankind mega_vertebrate shepherded_Tolkien_Middle ERDAS_creates Martian_surface
title,500,championship crown titles championships champs champ champion championsip trophy chamionship
managed,27,manged tried manages attempted able manage attempting struggled helped failed
step,15,steps giant_leap stepping move quantum_leap stepped strides leap stepping_stone Step
beer,500,beers lager Beer drinks lagers Yuengling_Lager microbrew Brooklyn_Lager suds brewed_beer
putting,99,put placing Putting puts pulling bringing puting Put pushing turning
character,500,characters protagonist Adversity_builds titular_character charater onscreen_persona villain charcter storyline plotline
camp,119,camps Camp training_camp Camps DaMarcus_Bradley campers Training_Camp Washago_Ont Newcomer_Ugly_Betty Deir_el_Balah_refugee
onto,17,into off on out underneath back down beneath beside along
broke,80,breaking broken break tore smashed ripped erupted breaks cracked stormed
currently,18,presently Currently Presently curently now currenty currrently still already currenly
stayed,82,remained stay staying kept went stays remain came sat moved
ive,500,i_havent i Ive havent ve lol i_cant thats havnt i_dont
mark,47,marks marking record marked eclipsing emerald_hued_holiday countryman_Haile_Gebrselassie milestone plateau ##-#.#_#.##m
reality,143,Reality realities Emblematic_examples Jaap_Amesz_Dutch Germany_Dieter_Wiefelspuetz raj_.........._i saucier_Miracle_Jones Pennsylvania_prophetic_rodent Wife_Swap_Larimer Octo_mum
explain,166,understand explaining clarify elucidate comprehend fathom describe explanation decipher illustrate
hi,500,hello hi_hi Hi Rahul_Goel_answers aw ya aww jaldi luv deepak
national,28,regional international natonal nation Maiolo_Swiss_Italian nationwide country local na_tional nat'l
lucky,84,fortunate unlucky luckiest luckier Still_LaCock_considered socks_Reiff Voisins_sans happy loser_Rajeev_Ram loser_Simon_Greul
ideas,99,Ideas idea concepts suggestions philosophies brainstorms proposals visions theories perspectives
issues,110,issue matters topics problems Issues isues isssues concerns dilemmas challenges
suck,500,sucking sucks sucked Sucking suckin rip spew gobble piss bleed
mouth,113,mouths lips gob mouth_ventilations nostrils piehole Mouth throat nose nostril
grade,257,grades eighth_grade graders eighth_graders grader twelfth_grade 8th_graders Grade sixth_graders eigth_graders
begin,58,begins commence start commences began begun resume beginning recommence started
lets,184,allows enables helps empowers gives letting encourages let Allows enabling
pool,132,pools swimming_pool Pool inflatable_kiddie kiddy_pool wading_pool swimming_pools generates_mappings hosting_THQ_Homefront kiddie_pool
york,500,nyc brooklyn london los_angeles denver washington philadelphia baltimore delhi boston
lead,60,advantage trailed cushion led midway_through thelead leads commanding lead.The Lead
classes,500,Classes electives courses noncredit_classes noncredit_courses classses elective_courses ESL_classes intersession_classes class
husband,500,wife mother father daughter fiancé fiance son boyfriend hus_band stepfather
likely,81,unlikely expected likley may inclined probably might likeliest could likelyto
alright,500,okay ok allright OK yeah say_Hey_feller gooooood Ehh shutup COACH_HERMAN_EDWARDS
social,160,Social societal Carmeta_Albarus_Lindo socio media_optimization_SMO cultural fetid_stench_overwhelms social_networking owns_http://www.mywallst.net_financial socio_economic
program,181,programs progam Program program.The initiative TRIO_Upward_Bound progams progamme Acceleration_Program Programs
main,13,biggest key major sole primary themain twofold predominant central ostensible
process,40,processes pro_cess multistep_process processs proc_ess process.The procedure Process laborious multistep_permitting
plans,39,plan planned intends Plans plansto planning proposal proposals proposed wants
